date,onset,confirmed,reported,imported_onset,imported_confirmed,imported_reported,domestic_onset,domestic_confirmed,domestic_reported
2020-01-03,1,0,0,1,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,2,0,0,1,0,0,1,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,3,0,0,0,0,0,3,0,0
2020-01-21,1,0,0,1,0,0,0,0,0
2020-01-22,2,0,0,1,0,0,1,0,0
2020-01-23,2,0,0,1,0,0,1,0,0
2020-01-24,3,0,0,2,0,0,1,0,0
2020-01-25,1,0,0,0,0,0,1,0,0
2020-01-26,1,0,0,1,0,0,0,0,0
2020-01-27,1,0,0,0,0,0,1,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,1,0,0,0,0,0,1,0,0
2020-01-30,1,0,0,1,0,0,0,0,0
2020-01-31,2,0,0,0,0,0,2,0,0
2020-02-01,2,0,0,0,0,0,2,0,0
2020-02-02,4,0,0,0,0,0,4,0,0
2020-02-03,10,0,0,1,0,0,9,0,0
2020-02-04,5,0,0,0,0,0,5,0,0
2020-02-05,2,0,0,1,0,0,1,0,0
2020-02-06,6,0,0,1,0,0,5,0,0
2020-02-07,3,0,0,2,0,0,1,0,0
2020-02-08,3,0,0,0,0,0,3,0,0
2020-02-09,1,0,0,0,0,0,1,0,0
2020-02-10,7,0,0,0,0,0,7,0,0
2020-02-11,1,0,0,0,0,0,1,0,0
2020-02-12,7,0,0,1,0,0,6,0,0
2020-02-13,7,0,0,1,0,0,6,0,0
2020-02-14,10,0,0,0,0,0,10,0,0
2020-02-15,7,7,0,0,0,0,7,7,0
2020-02-16,14,3,0,1,0,0,13,3,0
2020-02-17,11,0,0,0,0,0,11,0,0
2020-02-18,16,1,0,1,0,0,15,1,0
2020-02-19,16,0,0,0,0,0,16,0,0
2020-02-20,20,1,0,0,0,0,20,1,0
2020-02-21,18,2,0,1,0,0,17,2,0
2020-02-22,21,2,0,2,0,0,19,2,0
2020-02-23,25,1,0,1,0,0,24,1,0
2020-02-24,34,0,0,0,0,0,34,0,0
2020-02-25,39,2,0,4,0,0,35,2,0
2020-02-26,30,1,0,2,1,0,28,0,0
2020-02-27,25,0,0,3,0,0,22,0,0
2020-02-28,36,0,0,0,0,0,36,0,0
2020-02-29,25,1,0,0,0,0,25,1,0
2020-03-01,31,0,0,5,0,0,26,0,0
2020-03-02,43,5,0,7,0,0,36,5,0
2020-03-03,33,0,0,6,0,0,27,0,0
2020-03-04,35,2,0,2,0,0,33,2,0
2020-03-05,34,1,0,5,0,0,29,1,0
2020-03-06,35,5,0,4,0,0,31,5,0
2020-03-07,44,3,0,3,1,0,41,2,0
2020-03-08,35,1,0,5,0,0,30,1,0
2020-03-09,46,7,0,9,0,0,37,7,0
2020-03-10,30,3,0,2,0,0,28,3,0
2020-03-11,44,4,0,3,0,0,41,4,0
2020-03-12,35,1,0,7,0,0,28,1,0
2020-03-13,44,3,0,5,2,0,39,1,0
2020-03-14,40,9,0,6,0,0,34,9,0
2020-03-15,41,5,0,13,0,0,28,5,0
2020-03-16,48,0,0,17,0,0,31,0,0
2020-03-17,68,2,0,24,0,0,44,2,0
2020-03-18,70,4,0,11,1,0,59,3,0
2020-03-19,100,2,0,18,0,0,82,2,0
2020-03-20,101,4,0,11,0,0,90,4,0
2020-03-21,96,4,0,13,2,0,83,2,0
2020-03-22,121,5,0,16,0,0,105,5,0
2020-03-23,189,3,0,13,0,0,176,3,0
2020-03-24,170,5,0,11,1,0,159,4,0
2020-03-25,183,9,0,12,4,0,171,5,0
2020-03-26,214,22,0,8,2,0,206,20,0
2020-03-27,331,11,12,11,0,0,320,11,12
2020-03-28,315,40,22,4,4,0,311,36,22
2020-03-29,327,30,22,8,0,0,319,30,22
2020-03-30,474,39,0,1,1,0,473,38,0
2020-03-31,411,25,2,5,1,0,406,24,2
2020-04-01,541,74,7,3,2,0,538,72,7
2020-04-02,419,42,26,5,1,0,414,41,26
2020-04-03,534,64,12,1,0,0,533,64,12
2020-04-04,445,58,2,0,0,0,445,58,2
2020-04-05,383,36,0,0,0,0,383,36,0
2020-04-06,472,25,2,2,0,0,470,25,2
2020-04-07,413,41,3,2,0,0,411,41,3
2020-04-08,387,47,31,2,0,0,385,47,31
2020-04-09,336,65,29,0,2,0,336,63,29
2020-04-10,373,143,8,2,0,0,371,143,8
2020-04-11,356,142,12,0,0,0,356,142,12
2020-04-12,285,54,2,2,0,0,283,54,2
2020-04-13,323,57,1,0,2,0,323,55,1
2020-04-14,292,140,7,0,0,0,292,140,7
2020-04-15,280,97,4,0,0,0,280,97,4
2020-04-16,226,97,1,0,0,0,226,97,1
2020-04-17,225,88,3,0,0,0,225,88,3
2020-04-18,216,119,0,0,0,0,216,119,0
2020-04-19,156,56,3,0,0,0,156,56,3
2020-04-20,219,96,2,0,0,0,219,96,2
2020-04-21,155,115,0,0,0,0,155,115,0
2020-04-22,162,69,2,0,0,0,162,69,2
2020-04-23,106,77,6,0,0,0,106,77,6
2020-04-24,147,65,1,0,0,0,147,65,1
2020-04-25,115,46,1,0,0,0,115,46,1
2020-04-26,104,22,0,0,0,0,104,22,0
2020-04-27,121,47,0,0,0,0,121,47,0
2020-04-28,94,116,1,0,0,0,94,116,1
2020-04-29,69,48,1,0,0,0,69,48,1
2020-04-30,77,42,2,0,0,0,77,42,2
2020-05-01,70,42,0,0,0,0,70,42,0
2020-05-02,59,44,0,0,0,0,59,44,0
2020-05-03,39,37,0,0,0,0,39,37,0
2020-05-04,28,25,2,0,0,0,28,25,2
2020-05-05,19,25,2,0,0,0,19,25,2
2020-05-06,17,15,0,0,0,0,17,15,0
2020-05-07,7,11,0,0,0,0,7,11,0
2020-05-08,4,9,3,0,0,0,4,9,3
2020-05-09,0,8,3,0,0,0,0,8,3
