date,onset,confirmed,reported
2020-01-03,1,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,2,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,3,0,0
2020-01-21,1,0,0
2020-01-22,2,0,0
2020-01-23,2,0,0
2020-01-24,3,0,0
2020-01-25,1,0,0
2020-01-26,1,0,0
2020-01-27,1,0,0
2020-01-28,0,0,0
2020-01-29,1,0,0
2020-01-30,1,0,0
2020-01-31,2,0,0
2020-02-01,2,0,0
2020-02-02,4,0,0
2020-02-03,10,0,0
2020-02-04,5,0,0
2020-02-05,2,0,0
2020-02-06,6,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,1,0,0
2020-02-10,7,0,0
2020-02-11,1,0,0
2020-02-12,7,0,0
2020-02-13,7,0,0
2020-02-14,10,0,0
2020-02-15,7,1,0
2020-02-16,14,1,0
2020-02-17,11,0,0
2020-02-18,16,0,0
2020-02-19,16,0,0
2020-02-20,20,0,0
2020-02-21,18,0,0
2020-02-22,21,1,0
2020-02-23,25,1,0
2020-02-24,34,0,0
2020-02-25,39,0,0
2020-02-26,30,0,0
2020-02-27,25,0,0
2020-02-28,36,0,0
2020-02-29,25,1,0
2020-03-01,31,0,0
2020-03-02,43,0,0
2020-03-03,33,0,0
2020-03-04,35,0,0
2020-03-05,34,1,0
2020-03-06,35,3,0
2020-03-07,44,1,0
2020-03-08,35,0,0
2020-03-09,46,0,0
2020-03-10,30,0,0
2020-03-11,44,0,0
2020-03-12,35,0,0
2020-03-13,44,1,0
2020-03-14,40,0,0
2020-03-15,41,0,0
2020-03-16,48,0,0
2020-03-17,68,2,0
2020-03-18,70,0,0
2020-03-19,100,0,0
2020-03-20,101,1,0
2020-03-21,96,1,0
2020-03-22,121,0,0
2020-03-23,189,2,0
2020-03-24,170,0,0
2020-03-25,183,1,0
2020-03-26,214,1,0
2020-03-27,331,10,12
2020-03-28,315,10,22
2020-03-29,327,3,22
2020-03-30,474,20,0
2020-03-31,411,14,2
2020-04-01,541,28,1
2020-04-02,419,17,26
2020-04-03,534,23,12
2020-04-04,445,24,2
2020-04-05,383,21,0
2020-04-06,472,11,2
2020-04-07,413,12,3
2020-04-08,387,25,28
2020-04-09,336,41,27
2020-04-10,373,92,8
2020-04-11,356,51,9
2020-04-12,285,28,0
2020-04-13,323,40,1
2020-04-14,292,70,7
2020-04-15,280,42,2
2020-04-16,226,57,0
2020-04-17,225,72,3
2020-04-18,216,42,0
2020-04-19,156,29,3
2020-04-20,219,29,0
2020-04-21,155,63,0
2020-04-22,162,41,0
2020-04-23,106,31,0
2020-04-24,147,32,0
2020-04-25,115,27,1
2020-04-26,104,13,0
2020-04-27,121,22,0
2020-04-28,94,63,0
2020-04-29,69,17,0
2020-04-30,77,17,1
2020-05-01,70,31,0
2020-05-02,59,25,0
2020-05-03,39,16,0
2020-05-04,28,18,0
2020-05-05,19,5,0
2020-05-06,17,8,0
2020-05-07,7,5,0
2020-05-08,4,5,0
2020-05-09,0,0,1
